song,performer,count,decade,main_performer,release_date,title,main_artist,spotify_id,spotify_link,popularity,acousticness,analysis_url,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,explicit,genres,broad_genre
Dynamite,Taio Cruz,47,2010,Taio Cruz,2010-01-01,Dynamite,Taio Cruz,1DqdF42leyFIzqNDv9CjId,spotify:track:1DqdF42leyFIzqNDv9CjId,69,0.00332,https://api.spotify.com/v1/audio-analysis/1DqdF42leyFIzqNDv9CjId,0.754,203867.0,0.804,0.0,4.0,0.0329,-3.177,1.0,0.0853,119.968,4.0,0.818,False,"['dance pop', 'edm', 'pop', 'pop rap']",pop
Happy,Pharrell Williams,47,2010,Pharrell Williams,2014-03-03,"Happy - From ""Despicable Me 2""",Pharrell Williams,5b88tNINg4Q4nrRbrCXUmg,spotify:track:5b88tNINg4Q4nrRbrCXUmg,77,0.219,https://api.spotify.com/v1/audio-analysis/5b88tNINg4Q4nrRbrCXUmg,0.647,232720.0,0.822,0.0,5.0,0.0908,-4.662,0.0,0.183,160.019,4.0,0.962,False,"['pop', 'pop rap']",pop
Lucid Dreams,Juice WRLD,46,2010,Juice WRLD,2018-12-10,Lucid Dreams,Juice WRLD,285pBltuF7vW8TeWk8hdRR,spotify:track:285pBltuF7vW8TeWk8hdRR,85,0.349,https://api.spotify.com/v1/audio-analysis/285pBltuF7vW8TeWk8hdRR,0.511,239836.0,0.566,0.0,6.0,0.34,-7.23,0.0,0.2,83.903,4.0,0.218,True,"['chicago rap', 'trap music']",rap
Cake By The Ocean,DNCE,46,2010,DNCE,2016-11-18,Cake By The Ocean,DNCE,76hfruVvmfQbw0eYn1nmeC,spotify:track:76hfruVvmfQbw0eYn1nmeC,79,0.156,https://api.spotify.com/v1/audio-analysis/76hfruVvmfQbw0eYn1nmeC,0.774,219147.0,0.765,0.0,4.0,0.0373,-5.439,0.0,0.0502,119.001,4.0,0.917,True,"['dance pop', 'pop', 'post-teen pop']",pop
Wanted,Hunter Hayes,46,2010,Hunter Hayes,2011,Wanted,Hunter Hayes,0p1BcEcYVO3uk4KDf3gzkY,spotify:track:0p1BcEcYVO3uk4KDf3gzkY,68,0.268,https://api.spotify.com/v1/audio-analysis/0p1BcEcYVO3uk4KDf3gzkY,0.421,228840.0,0.476,0.0,0.0,0.0816,-7.692,1.0,0.0298,169.784,4.0,0.3,False,"['contemporary country', 'country', 'country road', 'modern country rock', 'neo mellow', 'pop', 'post-teen pop']",country
Chandelier,Sia,46,2010,Sia,2015-05-01,Chandelier,Sia,2s1sdSqGcKxpPr5lCl7jAV,spotify:track:2s1sdSqGcKxpPr5lCl7jAV,68,0.0197,https://api.spotify.com/v1/audio-analysis/2s1sdSqGcKxpPr5lCl7jAV,0.399,216120.0,0.787,6.07e-05,1.0,0.0685,-2.88,1.0,0.0499,117.089,5.0,0.572,False,"['australian dance', 'australian pop', 'pop']",pop
Give Me Everything,"Pitbull Featuring Ne-Yo, Afrojack & Nayer",45,2010,Pitbull ,2011-06-17,Give Me Everything,Pitbull,4QNpBfC0zvjKqPJcyqBy9W,spotify:track:4QNpBfC0zvjKqPJcyqBy9W,75,0.192,https://api.spotify.com/v1/audio-analysis/4QNpBfC0zvjKqPJcyqBy9W,0.671,252307.0,0.939,0.0,8.0,0.298,-3.206,1.0,0.161,129.023,4.0,0.529,False,"['dance pop', 'latin', 'miami hip hop', 'pop', 'pop rap']",pop
Havana,Camila Cabello Featuring Young Thug,45,2010,Camila Cabello ,2018-01-12,Havana (feat. Young Thug),Camila Cabello,1rfofaqEpACxVEHIZBJe6W,spotify:track:1rfofaqEpACxVEHIZBJe6W,84,0.184,https://api.spotify.com/v1/audio-analysis/1rfofaqEpACxVEHIZBJe6W,0.765,217307.0,0.523,3.56e-05,2.0,0.132,-4.333,1.0,0.03,104.988,4.0,0.394,False,"['dance pop', 'pop', 'post-teen pop']",pop
Needed Me,Rihanna,45,2010,Rihanna,2016-01-28,Needed Me,Rihanna,1Tt4sE4pXi57mTD1GCzsqm,spotify:track:1Tt4sE4pXi57mTD1GCzsqm,70,0.11,https://api.spotify.com/v1/audio-analysis/1Tt4sE4pXi57mTD1GCzsqm,0.671,191600.0,0.314,0.0,5.0,0.0825,-8.091,0.0,0.244,110.898,4.0,0.296,True,"['dance pop', 'pop', 'post-teen pop', 'r&b', 'urban contemporary']",pop
High Hopes,Panic! At The Disco,45,2010,Panic! At The Disco,2018-06-22,High Hopes,Panic! At The Disco,1rqqCSm0Qe4I9rUvWncaom,spotify:track:1rqqCSm0Qe4I9rUvWncaom,86,0.193,https://api.spotify.com/v1/audio-analysis/1rqqCSm0Qe4I9rUvWncaom,0.579,190947.0,0.904,0.0,5.0,0.064,-2.729,1.0,0.0618,82.014,4.0,0.681,False,"['baroque pop', 'emo', 'modern rock', 'pop punk']",pop
Sicko Mode,Travis Scott,45,2010,Travis Scott,2018-08-03,SICKO MODE,Travis Scott,2xLMifQCjDGFmkHkpNLD9h,spotify:track:2xLMifQCjDGFmkHkpNLD9h,86,0.00513,https://api.spotify.com/v1/audio-analysis/2xLMifQCjDGFmkHkpNLD9h,0.834,312820.0,0.73,0.0,8.0,0.124,-3.714,1.0,0.222,155.008,4.0,0.446,True,"['pop', 'pop rap', 'rap']",pop
Cups (Pitch Perfect's When I'm Gone),Anna Kendrick,44,2010,Anna Kendrick,2015-02-10,Cups (Pitch Perfect’s “When I’m Gone”) - Pop Version,Various Artists,6mH3qVIeOsnQIAho5eWwhH,spotify:track:6mH3qVIeOsnQIAho5eWwhH,58,0.052,https://api.spotify.com/v1/audio-analysis/6mH3qVIeOsnQIAho5eWwhH,0.871,128013.0,0.442,0.00819,0.0,0.0381,-8.766,1.0,0.0958,129.964,4.0,0.769,False,[],unknown
Riptide,Vance Joy,44,2010,Vance Joy,2014-09-09,Riptide,Vance Joy,3JvrhDOgAt6p7K8mDyZwRd,spotify:track:3JvrhDOgAt6p7K8mDyZwRd,77,0.431,https://api.spotify.com/v1/audio-analysis/3JvrhDOgAt6p7K8mDyZwRd,0.484,204280.0,0.731,0.0,1.0,0.151,-6.694,1.0,0.0379,101.654,4.0,0.51,False,"['indie folk', 'modern rock', 'neo mellow', 'pop']",unknown
