song,performer,count,decade,main_performer,release_date,title,main_artist,spotify_id,spotify_link,popularity,acousticness,analysis_url,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,explicit,genres,broad_genre
We Belong Together,Mariah Carey,43,2000,Mariah Carey,2005-01-01,We Belong Together,Mariah Carey,3LmvfNUQtglbTrydsdIqFU,spotify:track:3LmvfNUQtglbTrydsdIqFU,69,0.0358,https://api.spotify.com/v1/audio-analysis/3LmvfNUQtglbTrydsdIqFU,0.838,201400.0,0.469,0.0,0.0,0.0928,-7.992,1.0,0.0835,139.975,4.0,0.778,False,"['dance pop', 'pop', 'r&b', 'urban contemporary']",pop
This Love,Maroon 5,43,2000,Maroon 5,2002,This Love,Maroon 5,6ECp64rv50XVz93WvxXMGF,spotify:track:6ECp64rv50XVz93WvxXMGF,75,0.0556,https://api.spotify.com/v1/audio-analysis/6ECp64rv50XVz93WvxXMGF,0.714,206200.0,0.859,0.0,5.0,0.118,-4.634,0.0,0.0372,95.034,4.0,0.755,False,['pop'],pop
Headstrong,Trapt,43,2000,Trapt,2002-11-05,Headstrong,Trapt,1AEYT6VxrxXPMoQUxsY0E4,spotify:track:1AEYT6VxrxXPMoQUxsY0E4,72,0.000172,https://api.spotify.com/v1/audio-analysis/1AEYT6VxrxXPMoQUxsY0E4,0.492,285570.0,0.896,2.78e-06,4.0,0.189,-5.819,0.0,0.117,184.981,4.0,0.534,True,"['alternative metal', 'nu metal', 'post-grunge', 'rap rock']",rock
Beverly Hills,Weezer,43,2000,Weezer,2005-05-10,Beverly Hills,Weezer,1yKu2MhpwzDXXH2tzG6xoa,spotify:track:1yKu2MhpwzDXXH2tzG6xoa,68,0.0932,https://api.spotify.com/v1/audio-analysis/1yKu2MhpwzDXXH2tzG6xoa,0.693,196093.0,0.823,0.0,5.0,0.328,-3.761,1.0,0.0726,87.904,4.0,0.741,False,"['alternative rock', 'modern rock', 'permanent wave', 'pop punk', 'pop rock', 'post-grunge', 'rock']",rock
Unwritten,Natasha Bedingfield,42,2000,Natasha Bedingfield,2004-08-30,Unwritten,Natasha Bedingfield,1D1nixOVWOxvNfWi0UD7VX,spotify:track:1D1nixOVWOxvNfWi0UD7VX,75,0.00577,https://api.spotify.com/v1/audio-analysis/1D1nixOVWOxvNfWi0UD7VX,0.706,259333.0,0.801,0.0,5.0,0.0822,-6.333,1.0,0.0399,100.013,4.0,0.63,False,"['australian pop', 'dance pop', 'europop', 'neo mellow', 'pop', 'pop rock', 'post-teen pop']",pop
If You're Gone,matchbox twenty,42,2000,matchbox twenty,2000-05-23,If You're Gone,Matchbox Twenty,2f5N826udWfjT9iomeaBJt,spotify:track:2f5N826udWfjT9iomeaBJt,63,0.427,https://api.spotify.com/v1/audio-analysis/2f5N826udWfjT9iomeaBJt,0.544,274933.0,0.659,1.33e-06,9.0,0.126,-7.191,1.0,0.0298,109.933,4.0,0.361,False,"['neo mellow', 'pop rock', 'post-grunge']",pop
Ignition,R. Kelly,42,2000,R. Kelly,2003,Ignition - Remix,R. Kelly,5dNfHmqgr128gMY2tc5CeJ,spotify:track:5dNfHmqgr128gMY2tc5CeJ,69,0.061,https://api.spotify.com/v1/audio-analysis/5dNfHmqgr128gMY2tc5CeJ,0.795,186067.0,0.523,0.0,1.0,0.0914,-7.165,1.0,0.0423,133.024,4.0,0.855,False,[],unknown
"Sugar, We're Goin' Down",Fall Out Boy,42,2000,Fall Out Boy,2005-01-01,"Sugar, We're Goin Down",Fall Out Boy,2TfSHkHiFO4gRztVIkggkE,spotify:track:2TfSHkHiFO4gRztVIkggkE,76,0.00898,https://api.spotify.com/v1/audio-analysis/2TfSHkHiFO4gRztVIkggkE,0.499,229093.0,0.824,0.0,7.0,0.163,-4.741,1.0,0.0794,161.977,4.0,0.699,False,"['emo', 'modern rock', 'pop punk']",rock
Over My Head (Cable Car),The Fray,42,2000,The Fray,2005-09-13,Over My Head (Cable Car),The Fray,1N62wozuHCvczCkY4QidpP,spotify:track:1N62wozuHCvczCkY4QidpP,68,0.022,https://api.spotify.com/v1/audio-analysis/1N62wozuHCvczCkY4QidpP,0.592,236267.0,0.729,0.0,8.0,0.0653,-4.156,1.0,0.0448,116.03,4.0,0.709,False,"['modern rock', 'neo mellow', 'piano rock', 'pop', 'pop rock']",rock
Second Chance,Shinedown,41,2000,Shinedown,2008-06-24,Second Chance,Shinedown,0CwYG1UnRmOx8Q1EzElCIL,spotify:track:0CwYG1UnRmOx8Q1EzElCIL,65,0.00107,https://api.spotify.com/v1/audio-analysis/0CwYG1UnRmOx8Q1EzElCIL,0.46,222067.0,0.796,0.0,0.0,0.106,-4.501,0.0,0.0333,100.011,4.0,0.182,False,"['alternative metal', 'nu metal', 'post-grunge', 'rap rock']",rock
Love Song,Sara Bareilles,41,2000,Sara Bareilles,2007-07-03,Love Song,Sara Bareilles,4E6cwWJWZw2zWf7VFbH7wf,spotify:track:4E6cwWJWZw2zWf7VFbH7wf,75,0.0208,https://api.spotify.com/v1/audio-analysis/4E6cwWJWZw2zWf7VFbH7wf,0.583,258827.0,0.786,0.0,2.0,0.188,-3.142,0.0,0.0301,123.052,4.0,0.573,False,"['acoustic pop', 'dance pop', 'folk-pop', 'lilith', 'neo mellow', 'pop', 'pop rock']",pop
White Flag,Dido,41,2000,Dido,2003-09-03,White Flag,Dido,3adnLFXKO5rC1lhUNSeg3N,spotify:track:3adnLFXKO5rC1lhUNSeg3N,54,0.306,https://api.spotify.com/v1/audio-analysis/3adnLFXKO5rC1lhUNSeg3N,0.509,240600.0,0.538,5.03e-06,5.0,0.091,-6.835,1.0,0.0379,170.111,4.0,0.284,False,"['dance pop', 'new wave pop', 'pop', 'pop rock']",pop
Higher,Creed,41,2000,Creed,1999-01-01,Higher,Creed,1ZozJfi8u9cO2Ob8KwiwNT,spotify:track:1ZozJfi8u9cO2Ob8KwiwNT,66,5.15e-05,https://api.spotify.com/v1/audio-analysis/1ZozJfi8u9cO2Ob8KwiwNT,0.459,316733.0,0.83,0.00014,2.0,0.206,-6.254,1.0,0.0364,155.826,4.0,0.431,False,"['alternative metal', 'alternative rock', 'nu metal', 'pop rock', 'post-grunge', 'rap rock', 'rock']",rock
She Will Be Loved,Maroon 5,41,2000,Maroon 5,2002,She Will Be Loved - Radio Mix,Maroon 5,4llK75pXNWZz6KAho2Gp16,spotify:track:4llK75pXNWZz6KAho2Gp16,78,0.249,https://api.spotify.com/v1/audio-analysis/4llK75pXNWZz6KAho2Gp16,0.641,259453.0,0.667,0.0,0.0,0.0987,-5.505,0.0,0.0254,102.002,4.0,0.51,False,['pop'],pop
A Thousand Miles,Vanessa Carlton,41,2000,Vanessa Carlton,2002-04-30,A Thousand Miles,Vanessa Carlton,4w1lzcaoZ1IC2K5TwjalRP,spotify:track:4w1lzcaoZ1IC2K5TwjalRP,76,0.323,https://api.spotify.com/v1/audio-analysis/4w1lzcaoZ1IC2K5TwjalRP,0.56,237493.0,0.825,0.0,11.0,0.161,-3.862,1.0,0.0379,94.931,4.0,0.268,False,"['dance pop', 'folk-pop', 'lilith', 'neo mellow', 'piano rock', 'pop rock']",pop
Everything You Want,Vertical Horizon,41,2000,Vertical Horizon,1999-06-15,Everything You Want,Vertical Horizon,4cKGldbhGJniI8BrB3K6tb,spotify:track:4cKGldbhGJniI8BrB3K6tb,64,0.0504,https://api.spotify.com/v1/audio-analysis/4cKGldbhGJniI8BrB3K6tb,0.637,257067.0,0.759,0.0,3.0,0.0642,-6.389,0.0,0.0305,93.898,4.0,0.741,False,"['neo mellow', 'pop rock', 'post-grunge']",pop
Family Affair,Mary J. Blige,41,2000,Mary J. Blige,2001-01-01,Family Affair,Mary J. Blige,3aw9iWUQ3VrPQltgwvN9Xu,spotify:track:3aw9iWUQ3VrPQltgwvN9Xu,69,0.138,https://api.spotify.com/v1/audio-analysis/3aw9iWUQ3VrPQltgwvN9Xu,0.925,265867.0,0.56,1.19e-05,8.0,0.0861,-3.795,0.0,0.0436,92.895,4.0,0.966,False,"['dance pop', 'hip hop', 'hip pop', 'neo soul', 'pop', 'r&b', 'urban contemporary']",pop
If I Ain't Got You,Alicia Keys,40,2000,Alicia Keys,2003-12-02,If I Ain't Got You,Alicia Keys,3XVBdLihbNbxUwZosxcGuJ,spotify:track:3XVBdLihbNbxUwZosxcGuJ,77,0.603,https://api.spotify.com/v1/audio-analysis/3XVBdLihbNbxUwZosxcGuJ,0.609,228707.0,0.445,6.77e-06,7.0,0.104,-9.129,1.0,0.106,118.393,3.0,0.166,False,"['hip pop', 'neo soul', 'pop', 'r&b', 'urban contemporary']",pop
The Sweet Escape,Gwen Stefani Featuring Akon,40,2000,Gwen Stefani ,2006-01-01,The Sweet Escape,Gwen Stefani,66ZcOcouenzZEnzTJvoFmH,spotify:track:66ZcOcouenzZEnzTJvoFmH,65,0.218,https://api.spotify.com/v1/audio-analysis/66ZcOcouenzZEnzTJvoFmH,0.755,246467.0,0.765,0.0,1.0,0.162,-3.475,1.0,0.0356,119.954,4.0,0.737,False,"['australian pop', 'dance pop', 'europop', 'hip pop', 'pop', 'pop rock', 'post-teen pop']",pop
Poker Face,Lady Gaga,40,2000,Lady Gaga,2008-01-01,Poker Face,Lady Gaga,0WfKDYeUAoLA3vdvLKKWMW,spotify:track:0WfKDYeUAoLA3vdvLKKWMW,67,0.139,https://api.spotify.com/v1/audio-analysis/0WfKDYeUAoLA3vdvLKKWMW,0.846,237200.0,0.815,2.19e-06,4.0,0.131,-4.512,1.0,0.0761,118.999,4.0,0.831,False,"['dance pop', 'pop']",pop
Waiting On The World To Change,John Mayer,40,2000,John Mayer,2006-09-11,Waiting On the World to Change,John Mayer,5imShWWzwqfAJ9gXFpGAQh,spotify:track:5imShWWzwqfAJ9gXFpGAQh,73,0.159,https://api.spotify.com/v1/audio-analysis/5imShWWzwqfAJ9gXFpGAQh,0.577,201173.0,0.756,0.000232,2.0,0.249,-5.82,1.0,0.115,176.75,4.0,0.663,False,"['neo mellow', 'pop', 'pop rock', 'singer-songwriter']",pop
Low,Flo Rida Featuring T-Pain,40,2000,Flo Rida ,2008-03-17,Low (feat. T-Pain),Flo Rida,0CAfXk7DXMnon4gLudAp7J,spotify:track:0CAfXk7DXMnon4gLudAp7J,77,0.0928,https://api.spotify.com/v1/audio-analysis/0CAfXk7DXMnon4gLudAp7J,0.918,231400.0,0.609,0.0,10.0,0.139,-5.64,0.0,0.0791,128.008,4.0,0.304,False,"['dance pop', 'edm', 'miami hip hop', 'pop', 'pop rap']",pop
Freek-A-Leek,Petey Pablo,39,2000,Petey Pablo,2004,Freek-A-Leek,Petey Pablo,4MeDnO5yA2Zi6IMlVApRci,spotify:track:4MeDnO5yA2Zi6IMlVApRci,63,0.0744,https://api.spotify.com/v1/audio-analysis/4MeDnO5yA2Zi6IMlVApRci,0.756,235187.0,0.691,0.0,2.0,0.364,-3.718,1.0,0.178,104.999,4.0,0.632,True,"['crunk', 'dirty south rap', 'gangster rap', 'hip pop', 'nc hip hop', 'pop rap', 'southern hip hop']",rap
Bent,matchbox twenty,39,2000,matchbox twenty,2000-05-23,Bent,Matchbox Twenty,6fA7akEuTUL3dW1V0GELaZ,spotify:track:6fA7akEuTUL3dW1V0GELaZ,52,0.0404,https://api.spotify.com/v1/audio-analysis/6fA7akEuTUL3dW1V0GELaZ,0.518,256133.0,0.83,3.85e-06,6.0,0.375,-6.814,0.0,0.0386,95.468,4.0,0.527,False,"['neo mellow', 'pop rock', 'post-grunge']",pop
I Do!!,Toya,39,2000,Toya,2001-07-09,I Do!!,Toya,0NdEFLohwfZpyncrBCq1ZY,spotify:track:0NdEFLohwfZpyncrBCq1ZY,46,0.0859,https://api.spotify.com/v1/audio-analysis/0NdEFLohwfZpyncrBCq1ZY,0.781,213493.0,0.583,0.00216,6.0,0.058,-7.83,0.0,0.0628,156.264,4.0,0.91,False,['hip pop'],rap
You Found Me,The Fray,39,2000,The Fray,2009-01-30,You Found Me,The Fray,4IoYz8XqqdowINzfRrFnhi,spotify:track:4IoYz8XqqdowINzfRrFnhi,73,0.0187,https://api.spotify.com/v1/audio-analysis/4IoYz8XqqdowINzfRrFnhi,0.338,241853.0,0.803,0.0,8.0,0.136,-5.412,0.0,0.0413,151.994,4.0,0.4,False,"['modern rock', 'neo mellow', 'piano rock', 'pop', 'pop rock']",rock
Bleeding Love,Leona Lewis,39,2000,Leona Lewis,2007,Bleeding Love,Leona Lewis,7wZUrN8oemZfsEd1CGkbXE,spotify:track:7wZUrN8oemZfsEd1CGkbXE,77,0.188,https://api.spotify.com/v1/audio-analysis/7wZUrN8oemZfsEd1CGkbXE,0.638,262467.0,0.656,0.0,5.0,0.146,-5.886,1.0,0.0357,104.036,4.0,0.225,False,"['australian pop', 'british soul', 'dance pop', 'europop', 'pop', 'post-teen pop', 'talent show', 'uk pop']",pop
Gimme The Light,Sean Paul,39,2000,Sean Paul,2002-11-12,Gimme the Light,Sean Paul,3SCVtAJq8li6HlKfM4M08u,spotify:track:3SCVtAJq8li6HlKfM4M08u,57,0.141,https://api.spotify.com/v1/audio-analysis/3SCVtAJq8li6HlKfM4M08u,0.778,228000.0,0.761,4.61e-05,2.0,0.0441,-5.529,1.0,0.0525,107.288,4.0,0.923,True,"['dance pop', 'dancehall']",pop
Drive,Incubus,39,2000,Incubus,1999-10-26,Drive,Incubus,7nnWIPM5hwE3DaUBkvOIpy,spotify:track:7nnWIPM5hwE3DaUBkvOIpy,71,0.0562,https://api.spotify.com/v1/audio-analysis/7nnWIPM5hwE3DaUBkvOIpy,0.645,232453.0,0.792,0.0121,4.0,0.119,-7.34,0.0,0.036,90.565,4.0,0.666,False,"['alternative metal', 'alternative rock', 'funk metal', 'funk rock', 'modern rock', 'nu metal', 'pop rock', 'post-grunge', 'rap rock', 'rock']",rock
No One,Alicia Keys,39,2000,Alicia Keys,2007-11-09,No One,Alicia Keys,6IwKcFdiRQZOWeYNhUiWIv,spotify:track:6IwKcFdiRQZOWeYNhUiWIv,78,0.0209,https://api.spotify.com/v1/audio-analysis/6IwKcFdiRQZOWeYNhUiWIv,0.644,253813.0,0.548,8.68e-06,1.0,0.134,-5.416,0.0,0.0286,90.042,4.0,0.166,False,"['hip pop', 'neo soul', 'pop', 'r&b', 'urban contemporary']",pop
Thank You,Dido,39,2000,Dido,1999-06-01,Thank You,Dido,751gBcu62kORDelX7FV0mM,spotify:track:751gBcu62kORDelX7FV0mM,59,0.284,https://api.spotify.com/v1/audio-analysis/751gBcu62kORDelX7FV0mM,0.722,217827.0,0.595,0.000538,1.0,0.0694,-9.928,0.0,0.0415,79.98,4.0,0.738,False,"['dance pop', 'new wave pop', 'pop', 'pop rock']",pop
Closer,Ne-Yo,39,2000,Ne-Yo,2019-09-06,Closer,Various Artists,0ppUhE8sj8ZQRldMCOrYgN,spotify:track:0ppUhE8sj8ZQRldMCOrYgN,0,0.028,https://api.spotify.com/v1/audio-analysis/0ppUhE8sj8ZQRldMCOrYgN,0.711,234360.0,0.753,2.96e-05,4.0,0.152,-6.461,0.0,0.0766,126.051,4.0,0.588,False,[],unknown
The Way You Move,OutKast Featuring Sleepy Brown,39,2000,OutKast ,2003,The Way You Move (feat. Sleepy Brown),OutKast,5z7mYFfhw6N6f23VwrokJD,spotify:track:5z7mYFfhw6N6f23VwrokJD,64,0.126,https://api.spotify.com/v1/audio-analysis/5z7mYFfhw6N6f23VwrokJD,0.871,234000.0,0.597,0.000115,5.0,0.0638,-4.932,0.0,0.0464,125.999,4.0,0.635,True,"['atl hip hop', 'dirty south rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop']",rap
Hot N Cold,Katy Perry,39,2000,Katy Perry,2008-06-17,Hot N Cold,Katy Perry,1y4eb6hmAvsqlDOl3fx9kk,spotify:track:1y4eb6hmAvsqlDOl3fx9kk,63,7.95e-05,https://api.spotify.com/v1/audio-analysis/1y4eb6hmAvsqlDOl3fx9kk,0.706,220227.0,0.841,0.0,7.0,0.0688,-3.956,1.0,0.0418,132.032,4.0,0.861,False,"['dance pop', 'pop', 'post-teen pop']",pop
"1, 2 Step",Ciara Featuring Missy Elliott,39,2000,Ciara ,2004-09-24,"One, Two Step",Ciara,7uKcScNXuO3MWw6LowBjW1,spotify:track:7uKcScNXuO3MWw6LowBjW1,73,0.042,https://api.spotify.com/v1/audio-analysis/7uKcScNXuO3MWw6LowBjW1,0.944,203787.0,0.511,0.00107,5.0,0.0379,-10.96,0.0,0.161,113.046,4.0,0.842,False,"['dance pop', 'hip pop', 'pop', 'pop rap', 'post-teen pop', 'r&b', 'urban contemporary']",pop
Dirty Little Secret,The All-American Rejects,39,2000,The All-American Rejects,2005-01-01,Dirty Little Secret,The All-American Rejects,5lDriBxJd22IhOH9zTcFrV,spotify:track:5lDriBxJd22IhOH9zTcFrV,68,0.0004,https://api.spotify.com/v1/audio-analysis/5lDriBxJd22IhOH9zTcFrV,0.453,193653.0,0.942,2.65e-06,10.0,0.667,-4.256,1.0,0.0466,143.85,4.0,0.457,False,"['modern rock', 'neo mellow', 'pop punk', 'pop rock', 'post-grunge']",rock
Move Along,The All-American Rejects,39,2000,The All-American Rejects,2005-01-01,Move Along,The All-American Rejects,2l57cfmCnOkwNX1tky02n1,spotify:track:2l57cfmCnOkwNX1tky02n1,65,0.000198,https://api.spotify.com/v1/audio-analysis/2l57cfmCnOkwNX1tky02n1,0.529,238880.0,0.922,0.0,3.0,0.26,-3.84,1.0,0.0459,109.847,4.0,0.628,False,"['modern rock', 'neo mellow', 'pop punk', 'pop rock', 'post-grunge']",rock
Gold Digger,Kanye West Featuring Jamie Foxx,39,2000,Kanye West ,2005-09-30,Gold Digger,Kanye West,1PS1QMdUqOal0ai3Gt7sDQ,spotify:track:1PS1QMdUqOal0ai3Gt7sDQ,77,0.0223,https://api.spotify.com/v1/audio-analysis/1PS1QMdUqOal0ai3Gt7sDQ,0.638,207627.0,0.699,0.0,1.0,0.0917,-5.54,0.0,0.384,92.939,4.0,0.66,True,"['chicago rap', 'hip hop', 'pop rap', 'rap']",rap
Mr. Brightside,The Killers,38,2000,The Killers,2004-06-15,Mr. Brightside,The Killers,7oK9VyNzrYvRFo7nQEYkWN,spotify:track:7oK9VyNzrYvRFo7nQEYkWN,77,0.00108,https://api.spotify.com/v1/audio-analysis/7oK9VyNzrYvRFo7nQEYkWN,0.33,222587.0,0.936,0.0,1.0,0.0926,-3.66,1.0,0.0917,148.112,4.0,0.234,False,"['indie rock', 'modern rock', 'permanent wave', 'rock']",rock
In The End,Linkin Park,38,2000,Linkin Park,2000-10-24,In the End,Linkin Park,60a0Rd6pjrkxjPbaKzXjfq,spotify:track:60a0Rd6pjrkxjPbaKzXjfq,81,0.0103,https://api.spotify.com/v1/audio-analysis/60a0Rd6pjrkxjPbaKzXjfq,0.542,216933.0,0.853,0.0,3.0,0.108,-6.407,0.0,0.0498,105.256,4.0,0.37,False,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal']",rock
Run It!,Chris Brown,38,2000,Chris Brown,2005,Run It! (feat. Juelz Santana),Chris Brown,7xYnUQigPoIDAMPVK79NEq,spotify:track:7xYnUQigPoIDAMPVK79NEq,68,0.0246,https://api.spotify.com/v1/audio-analysis/7xYnUQigPoIDAMPVK79NEq,0.846,229867.0,0.482,0.0,1.0,0.393,-6.721,0.0,0.129,100.969,4.0,0.212,False,"['dance pop', 'pop', 'pop rap', 'r&b', 'rap']",pop
The Reason,Hoobastank,38,2000,Hoobastank,2003-12-09,The Reason,Hoobastank,3FZEg8UWOwKzJKzKT90hUZ,spotify:track:3FZEg8UWOwKzJKzKT90hUZ,74,0.0105,https://api.spotify.com/v1/audio-analysis/3FZEg8UWOwKzJKzKT90hUZ,0.474,232800.0,0.672,0.0,4.0,0.142,-4.678,1.0,0.028,83.029,4.0,0.0649,False,"['alternative metal', 'funk metal', 'nu metal', 'pop punk', 'pop rock', 'post-grunge', 'rap rock']",rock
Blurry,Puddle Of Mudd,38,2000,Puddle Of Mudd,2001-01-01,Blurry,Puddle Of Mudd,6lSr3iZTC144PKhvbPFzMp,spotify:track:6lSr3iZTC144PKhvbPFzMp,65,0.01,https://api.spotify.com/v1/audio-analysis/6lSr3iZTC144PKhvbPFzMp,0.44,304000.0,0.929,0.0,3.0,0.142,-4.494,0.0,0.0525,157.49,4.0,0.495,False,"['alternative metal', 'alternative rock', 'nu metal', 'pop punk', 'post-grunge', 'rap rock', 'rock']",rock
Scars,Papa Roach,38,2000,Papa Roach,2004-01-01,Scars,Papa Roach,1UREw2MCfU0xwBzCAjxlUD,spotify:track:1UREw2MCfU0xwBzCAjxlUD,62,0.0948,https://api.spotify.com/v1/audio-analysis/1UREw2MCfU0xwBzCAjxlUD,0.384,208186.0,0.921,0.0,11.0,0.168,-3.334,1.0,0.055,89.922,4.0,0.471,False,"['alternative metal', 'nu metal', 'pop punk', 'post-grunge', 'rap metal', 'rap rock']",rock
Goodies,Ciara Featuring Petey Pablo,38,2000,Ciara ,2004-09-24,Goodies,Ciara,3dFwpxh2yH7C7p9BGEKLVB,spotify:track:3dFwpxh2yH7C7p9BGEKLVB,64,0.0277,https://api.spotify.com/v1/audio-analysis/3dFwpxh2yH7C7p9BGEKLVB,0.826,223000.0,0.647,1.52e-06,5.0,0.298,-6.306,0.0,0.0491,102.017,4.0,0.872,False,"['dance pop', 'hip pop', 'pop', 'pop rap', 'post-teen pop', 'r&b', 'urban contemporary']",pop
You're Beautiful,James Blunt,38,2000,James Blunt,2019-05-30,You’re Beautiful - Acoustic Cover,Various Artists,7j6C8ITuzhA7GHmj2z9mSd,spotify:track:7j6C8ITuzhA7GHmj2z9mSd,6,0.994,https://api.spotify.com/v1/audio-analysis/7j6C8ITuzhA7GHmj2z9mSd,0.66,177066.0,0.183,0.928,3.0,0.119,-15.238,1.0,0.068,78.936,4.0,0.218,False,[],unknown
The Way I Are,Timbaland Featuring Keri Hilson,38,2000,Timbaland ,2007-01-01,The Way I Are,Timbaland,2bLqfJjuC5syrsgDsZfGmn,spotify:track:2bLqfJjuC5syrsgDsZfGmn,71,0.189,https://api.spotify.com/v1/audio-analysis/2bLqfJjuC5syrsgDsZfGmn,0.734,179120.0,0.808,0.699,3.0,0.315,-6.448,0.0,0.106,114.764,4.0,0.805,False,"['dance pop', 'hip hop', 'hip pop', 'pop', 'pop rap', 'rap', 'urban contemporary']",pop
I Write Sins Not Tragedies,Panic! At The Disco,37,2000,Panic! At The Disco,2005-09-27,I Write Sins Not Tragedies,Panic! At The Disco,4bPQs0PHn4xbipzdPfn6du,spotify:track:4bPQs0PHn4xbipzdPfn6du,73,0.0938,https://api.spotify.com/v1/audio-analysis/4bPQs0PHn4xbipzdPfn6du,0.567,187613.0,0.795,0.0,9.0,0.114,-4.985,0.0,0.134,170.06,4.0,0.635,False,"['baroque pop', 'emo', 'modern rock', 'pop punk']",pop
The Game Of Love,Santana Featuring Michelle Branch,37,2000,Santana ,2002-09-30,The Game of Love (feat. Michelle Branch) - Main / Radio Mix,Santana,41IShViF79gmulEkIHAjcb,spotify:track:41IShViF79gmulEkIHAjcb,60,0.0714,https://api.spotify.com/v1/audio-analysis/41IShViF79gmulEkIHAjcb,0.59,254467.0,0.929,0.000153,2.0,0.0598,-3.236,1.0,0.0478,119.818,4.0,0.674,False,"['blues-rock', 'classic rock', 'rock']",rock
Because Of You,Kelly Clarkson,37,2000,Kelly Clarkson,2004-01-17,Because of You,Kelly Clarkson,3f3omU8n47Mqyab5nCaGyT,spotify:track:3f3omU8n47Mqyab5nCaGyT,71,0.254,https://api.spotify.com/v1/audio-analysis/3f3omU8n47Mqyab5nCaGyT,0.583,219493.0,0.584,0.0,5.0,0.123,-5.362,0.0,0.0314,140.039,4.0,0.136,False,"['australian pop', 'dance pop', 'neo mellow', 'pop', 'pop rock', 'post-teen pop', 'talent show']",pop
He Wasn't Man Enough,Toni Braxton,37,2000,Toni Braxton,2000,He Wasn't Man Enough,Toni Braxton,7f1Dmr246cJ9uQYdbplTbh,spotify:track:7f1Dmr246cJ9uQYdbplTbh,64,0.00947,https://api.spotify.com/v1/audio-analysis/7f1Dmr246cJ9uQYdbplTbh,0.739,261933.0,0.947,2.99e-05,11.0,0.326,-1.915,0.0,0.0412,88.009,4.0,0.763,False,"['dance pop', 'hip pop', 'neo soul', 'new jack swing', 'pop', 'quiet storm', 'r&b', 'urban contemporary']",pop
Home,Daughtry,37,2000,Daughtry,2006,Home,Daughtry,2mobr1UlKjhxDTOVqng3jw,spotify:track:2mobr1UlKjhxDTOVqng3jw,54,0.00217,https://api.spotify.com/v1/audio-analysis/2mobr1UlKjhxDTOVqng3jw,0.443,255652.0,0.853,1.77e-06,6.0,0.198,-3.885,1.0,0.0361,143.986,4.0,0.338,False,"['alternative metal', 'neo mellow', 'nu metal', 'pop rock', 'post-grunge']",rock
Disturbia,Rihanna,37,2000,Rihanna,2008-06-02,Disturbia,Rihanna,2VOomzT6VavJOGBeySqaMc,spotify:track:2VOomzT6VavJOGBeySqaMc,69,0.0863,https://api.spotify.com/v1/audio-analysis/2VOomzT6VavJOGBeySqaMc,0.707,238627.0,0.813,0.0,11.0,0.168,-4.515,0.0,0.0571,124.921,4.0,0.722,False,"['dance pop', 'pop', 'post-teen pop', 'r&b', 'urban contemporary']",pop
SexyBack,Justin Timberlake,36,2000,Justin Timberlake,2006-09-12,SexyBack (feat. Timbaland),Justin Timberlake,0O45fw2L5vsWpdsOdXwNAR,spotify:track:0O45fw2L5vsWpdsOdXwNAR,69,0.0584,https://api.spotify.com/v1/audio-analysis/0O45fw2L5vsWpdsOdXwNAR,0.967,242733.0,0.583,0.0,7.0,0.0519,-5.562,0.0,0.0789,117.0,4.0,0.964,True,"['dance pop', 'pop', 'pop rap']",pop
Our Song,Taylor Swift,36,2000,Taylor Swift,2006-10-24,Our Song,Taylor Swift,15DeqWWQB4dcEWzJg15VrN,spotify:track:15DeqWWQB4dcEWzJg15VrN,63,0.114,https://api.spotify.com/v1/audio-analysis/15DeqWWQB4dcEWzJg15VrN,0.543,201107.0,0.686,0.0,2.0,0.335,-4.751,1.0,0.0357,177.874,4.0,0.555,False,"['dance pop', 'pop']",pop
Gives You Hell,The All-American Rejects,36,2000,The All-American Rejects,2008-01-01,Gives You Hell,The All-American Rejects,6ihL9TjfRjadfEePzXXyVF,spotify:track:6ihL9TjfRjadfEePzXXyVF,70,0.0156,https://api.spotify.com/v1/audio-analysis/6ihL9TjfRjadfEePzXXyVF,0.714,213107.0,0.725,0.0,4.0,0.0726,-6.411,1.0,0.0402,99.988,4.0,0.59,False,"['modern rock', 'neo mellow', 'pop punk', 'pop rock', 'post-grunge']",rock
The First Cut Is The Deepest,Sheryl Crow,36,2000,Sheryl Crow,2003-01-01,The First Cut Is The Deepest,Sheryl Crow,7gN24J8E0pR3G2nsbhkcjw,spotify:track:7gN24J8E0pR3G2nsbhkcjw,49,0.0483,https://api.spotify.com/v1/audio-analysis/7gN24J8E0pR3G2nsbhkcjw,0.498,227400.0,0.68,0.0,2.0,0.169,-5.34,1.0,0.0332,160.043,4.0,0.695,False,"['folk-pop', 'lilith', 'mellow gold', 'neo mellow', 'new wave pop', 'permanent wave', 'pop rock', 'rock']",pop
Smooth,Santana Featuring Rob Thomas,36,2000,Santana ,1999-06-15,Smooth (feat. Rob Thomas),Santana,0n2SEXB2qoRQg171q7XqeW,spotify:track:0n2SEXB2qoRQg171q7XqeW,69,0.16,https://api.spotify.com/v1/audio-analysis/0n2SEXB2qoRQg171q7XqeW,0.609,294987.0,0.923,4.73e-06,9.0,0.295,-3.908,1.0,0.0338,115.996,4.0,0.961,False,"['blues-rock', 'classic rock', 'rock']",rock
