song,performer,count,year
Meant To Be,Bebe Rexha & Florida Georgia Line,8,2017
Get Over Yourself,Eden's Crush,14,2001
Feels So Good,Xscape,18,1995
Just Be A Man About It,Toni Braxton,20,2000
Dream On,The Righteous Brothers,8,1974
I've Gotta Be Me,Sammy Davis Jr.,13,1969
Holding Back The Years,Simply Red,23,1986
I Do Love You,GQ,17,1979
Love Gets Me Every Time,Shania Twain,12,1997
Letitgo,Prince,14,1994
Girls Can't Do What The Guys Do,Betty Wright,8,1968
"Just The Way It Is, Baby",The Rembrandts,19,1991
Look What You've Done,Pozo Seco Singers,6,1967
Kiss An Angel Good Mornin',Charley Pride,10,1972
Lucky Love,Ace Of Base,17,1996
I'll Take Good Care Of You,Garnet Mimms,9,1966
I Remember,Keyshia Cole,19,2008
Friends,Elton John,9,1971
Go Insane,Lindsey Buckingham,16,1984
Live Every Moment,REO Speedwagon,11,1985
Any Man Of Mine/Whose Bed Have Your Boots Been Under?,Shania Twain,19,1995
The Clapping Song,Pia Zadora,12,1983
Thank You,Boyz II Men,20,1995
But For The Grace Of God,Keith Urban,18,2001
Another Saturday Night,Sam Cooke,11,1963
Sing For The Moment,Eminem,18,2003
Spanish Eyes,Al Martino,8,1966
Sitting,Cat Stevens,4,1973
"A Thin Line Between Love & Hate (From ""A Thin Line..."")",H-Town,20,1996
Rolex,Ayo & Teo,25,2017
Ruffneck,MC Lyte,20,1993
Don't Leave Me This Way,The Communards,12,1987
American Boy,Estelle Featuring Kanye West,30,2008
Sisters Are Doin' It For Themselves,Eurythmics & Aretha Franklin,11,1985
The Dream,Irene Cara,10,1984
Loyal,Chris Brown Featuring Lil Wayne & French Montana Or Too $hort Or Tyga,36,2014
I'm Goin' Down,Bruce Springsteen,13,1985
Kick The Dust Up,Luke Bryan,20,2015
My List,Toby Keith,20,2002
O Dio Mio,Annette,12,1960
Goodnight My Love,Paul Anka,10,1969
Girls Grow Up Faster Than Boys,The Cookies,6,1964
"Hide & Go Seek, Part I",Bunker Hill,13,1962
I Pledge My Love,Peaches & Herb,19,1980
Mixed Emotions,The Rolling Stones,12,1989
My Everything,98 Degrees,16,2001
Lost Her In The Sun,John Stewart,9,1980
Little Ole Man (Uptight-Everything's Alright),Bill Cosby,11,1967
Girls Can Get It,Dr. Hook,5,1981
Johnny Will,Pat Boone,3,1962
I Will Still Love You,Stonebolt,14,1978
"I Breathe In, I Breathe Out",Chris Cagle,20,2002
It's Getting Better,Mama Cass,19,1969
DONE.,The Band Perry,20,2013
Dope N****z,Lil Wayne Featuring Snoop Dogg,1,2018
Double Good Everything,Smokey Robinson,3,1991
Double Vision,Foreigner,15,1978
"Exhale (Shoop Shoop) (From ""Waiting To Exhale"")",Whitney Houston,6,1995
Nice For What,Drake,25,2018
Killshot,Eminem,8,2018
MIA,Bad Bunny Featuring Drake,10,2018
I Don't Wanna Live Forever (Fifty Shades Darker),Zayn / Taylor Swift,1,2016
Lucky You,Eminem Featuring Joyner Lucas,12,2018
Keeps Gettin' Better,Christina Aguilera,11,2008
"Nice, Nice, Very Nice",Ambrosia,5,1975
He's My Girl,David Hallyday,6,1987
Human Wheels,John Mellencamp,14,1993
Feel That Fire,Dierks Bentley,10,2008
Gotta Go Solo,Patti LaBelle Featuring Ron Isley,3,2004
Funny Man,Ray Stevens,3,1963
Never Let You Go,Sweet Sensation,10,1988
Move It Like This,K7,20,1995
Love Is A House,Force M.D.'s,9,1987
Funk Dat/Why Is It?,Sagat,17,1994
I Don't Need Your Love,Angelina,11,1996
Holler Back,The Lost Trailers,13,2008
I Could Have Loved You So Well,Ray Peterson,3,1961
I Hit It First,Ray J Featuring Bobby Brackins,3,2013
Got To Rock On,Kansas,4,1981
Livin' Right,Glenn Frey,4,1989
Imagine,Jack Johnson,2,2007
How To Deal,Frankie J,19,2005
Freak Me Baby,"Dis `N' Dat Feat. 95 South,69 Boyz & K-Nock",18,1995
On The Road Again,Canned Heat,11,1968
Just A Baby Boy,Snoop Dogg Featuring Tyrese & Mr. Tan,4,2001
High School Nights,Dave Edmunds,2,1985
Down In The Valley,Solomon Burke,8,1962
"Names, Tags, Numbers & Labels",The Association,5,1973
I Feel Free,Belinda Carlisle,4,1988
Oklahoma,Billy Gilman,8,2000
Old Shep,Ralph DeMarco,2,1959
Maggie May/Reason To Believe,Rod Stewart,21,1971
Satisfied,Richard Marx,15,1989
Real Love,The Doobie Brothers,16,1980
The Blower's Daughter,Matt McAndrew,1,2014
Bye Bye Bye,'N Sync,23,2000
Bed,Nicki Minaj Featuring Ariana Grande,10,2018
Can't Fight This Feeling,REO Speedwagon,18,1985
Shoota,Playboi Carti Featuring Lil Uzi Vert,4,2018
Roller Coaster,Justin Bieber,1,2013
Crying In The Club,Camila Cabello,9,2017
Return To Me,Dean Martin,4,1958
Roll Up,Wiz Khalifa,22,2011
Slippery,Migos Featuring Gucci Mane,21,2017
Superstar/Bless The Beasts And Children,Carpenters,17,1971
All Bad,Justin Bieber,1,2013
River Deep - Mountain High,The Supremes & Four Tops,5,1970
Angelia,Richard Marx,13,1989
Shimmer,Fuel,12,1998
Philadelphia Freedom,The Elton John Band,21,1975
Alone,Heart,21,1987
Spark,Tori Amos,14,1998
Run,Matt Nathanson Featuring Sugarland,1,2011
Bad Day,Justin Bieber,1,2013
Synchronicity II,The Police,9,1983
Change Clothes,JAY-Z,7,2003
Dear John,Taylor Swift,1,2010
Don't Wanna Live Inside Myself,Bee Gees,7,1971
Don't You (Forget About Me),Simple Minds,22,1985
Don't You Care,The Buckinghams,14,1967
Poor Little Fool,Ricky Nelson,11,1958
Cold Water,Major Lazer Featuring Justin Bieber & MO,21,2016
Don't Cry,Lil Wayne Featuring XXXTENTACION,3,2018
Bang Bang,"Jessie J, Ariana Grande & Nicki Minaj",20,2014
Better Now,Post Malone,34,2018
Stargazing,Travis Scott,8,2018
Talk Back Trembling Lips,Johnny Tillotson,8,1963
Don't Stop,Fleetwood Mac,18,1977
Breathe Again,Toni Braxton,11,1993
Come On Over Baby (All I Want Is You),Christina Aguilera,21,2000
All Falls Down,Kanye West Featuring Syleena Johnson,20,2004
Cool Jerk,The Capitols,14,1966
Small Town,John Mellencamp,9,1985
A Cowboys Work Is Never Done,Sonny & Cher,13,1972
God Bless Whoever Sent You,The Originals,2,1970
Gal Yuh Ah Lead,T.O.K.,9,2004
Good Time,Alan Jackson,20,2008
La Pachanga,Audrey Arno And The Hazy Osterwald Sextet,2,1961
Nobody's Baby Again,Dean Martin,6,1966
I Need Someone (To Love Me),Z.Z. Hill,3,1971
Making A Good Thing Better,Olivia Newton-John,4,1977
Go Down Easy,Dan Fogelberg,4,1985
Lady-O,The Turtles,4,1969
Energy,Keri Hilson,9,2008
Loose Booty,Sly & The Family Stone,4,1974
In Walked Love,Expose,6,1994
Have You Ever Been Lonely (Have You Ever Been Blue),Teresa Brewer,5,1960
Moon Over Naples,Bert Kaempfert And His Orchestra,10,1965
Escapate Conmigo,Wisin Featuring Ozuna,20,2017
I'll Be Your Everything,Youngstown,10,1999
I Can't Tell The Bottom From The Top,The Hollies,4,1970
Leavin',Tony Toni Tone,5,1994
Midnight Lace,Ray Ellis,4,1960
Groovin' (Out On Life),The Newbeats,3,1970
Fools Like Me,Lorenzo Lamas,3,1985
"Hot Pants - I'm Coming, Coming, I'm Coming",Bobby Byrd,4,1971
If Love Must Go,Dobie Gray,7,1976
One Last Time,Glen Campbell,4,1972
Enough Of No Love,Keyshia Cole Featuring Lil Wayne,9,2012
Getaway,"Earth, Wind & Fire",19,1976
It's O.k.,The Beach Boys,10,1976
Little Jackie Wants To Be A Star,Lisa Lisa And Cult Jam,11,1989
Mentirosa,Mellow Man Ace,24,1990
Everything,Jody Watley,12,1989
Girls Nite Out,Tyler Collins,21,1990
Lucky,Britney Spears,11,2000
Forgot About Dre,Dr. Dre Featuring Eminem,20,2000
Full Of Fire,Al Green,8,1975
Love Is Alright Tonite,Rick Springfield,12,1982
Music Box Dancer,Frank Mills,20,1979
Feel It Boy,Beenie Man Featuring Janet,12,2002
Mama's Pearl,Jackson 5,10,1971
I Will Wait,Mumford & Sons,19,2012
Oh Well,Rockets,13,1979
Multiplication,Bobby Darin,8,1962
Let's Go All The Way,Sly Fox,24,1986
One Kiss,Calvin Harris & Dua Lipa,21,2018
Love Don't Love Nobody - Pt. I,The Spinners,13,1974
Man On The Moon,R.E.M.,15,1993
I Found Somebody,Glenn Frey,13,1982
(If Loving You Is Wrong) I Don't Want To Be Right,Barbara Mandrell,16,1979
5-1-5-0,Dierks Bentley,20,2012
Run For Home,Lindisfarne,14,1978
Area Codes,Ludacris Featuring Nate Dogg,17,2001
"Saturday Night, Sunday Morning",Thelma Houston,13,1979
Born To Fly,Sara Evans,11,2000
Angel Eyes,Love And Theft,20,2012
Smokie - Part 2,Bill Black's Combo,7,1960
